JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,,,,,
"Result of I B.Tech II Semester (R19/R20) Regular/Supplementary Examinations, August-2022",,,,,
,College name: ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY:P3,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits
19P31A0103,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,F,0
19P31A0105,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,C,3
19P31A0106,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,5,D,3
19P31A0108,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,16,D,3
19P31A0109,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,17,F,0
19P31A0111,R19ES1201,PROGRAMMING FOR PROBLEM SOLVING USING C,17,C,3
19P31A0202,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,17,D,3
19P31A0203,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,17,C,3
19P31A0204,R19BS1202,MATHEMATICS-II,15,ABSENT,0
19P31A0204,R19ES1217,ELECTRICAL CIRCUIT ANALYSIS-I,18,F,0
19P31A0307,R19BS1210,ENGINEERING CHEMISTRY,15,F,0
19P31A0311,R19BS1210,ENGINEERING CHEMISTRY,13,F,0
19P31A0311,R19ES1204,ENGINEERING MECHANICS,18,F,0
19P31A0311,R19ES1206,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,16,F,0
19P31A0314,R19BS1210,ENGINEERING CHEMISTRY,12,F,0
19P31A0314,R19ES1204,ENGINEERING MECHANICS,16,F,0
19P31A0314,R19ES1206,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,13,F,0
19P31A0402,R19BS1203,MATHEMATICS-III,16,ABSENT,0
19P31A0402,R19BS1204,APPLIED PHYSICS,12,ABSENT,0
19P31A0404,R19BS1202,MATHEMATICS-II,15,F,0
19P31A0404,R19BS1203,MATHEMATICS-III,15,F,0
19P31A0404,R19BS1204,APPLIED PHYSICS,10,F,0
19P31A0404,R19ES1209,NETWORK ANALYSIS,12,F,0
19P31A0404,R19ES1211,BASIC ELECTRICAL ENGINEERING,12,F,0
19P31A0408,R19BS1203,MATHEMATICS-III,18,F,0
19P31A0409,R19BS1203,MATHEMATICS-III,19,F,0
19P31A0412,R19BS1203,MATHEMATICS-III,15,F,0
19P31A0412,R19ES1209,NETWORK ANALYSIS,15,F,0
19P31A0412,R19ES1211,BASIC ELECTRICAL ENGINEERING,12,F,0
19P31A0415,R19BS1203,MATHEMATICS-III,17,F,0
19P31A0418,R19BS1203,MATHEMATICS-III,16,F,0
19P31A0420,R19BS1203,MATHEMATICS-III,17,B,3
19P31A0421,R19BS1203,MATHEMATICS-III,18,C,3
