,,,,,,,,,,,,,,,,,,,,,
,Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,
,1,,,17P31A0225,,,R1641024,,,SWITCHGEAR AND PROTECTION,,,9,,,ABSENT,,,0,,
,2,,,17P31A0334,,,R1641031,,,MECHATRONICS,,,28,,,ABSENT,,,0,,
,3,,,17P31A0334,,,R1641032,,,CAD/CAM(COMMON TO ME & AME),,,28,,,ABSENT,,,0,,
,4,,,17P31A0334,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,30,,,F,,,0,,
,5,,,17P31A0334,,,R1641034,,,POWER PLANT ENGINEERING,,,30,,,F,,,0,,
,6,,,17P31A0334,,,R1641037,,,CAD/CAM LAB,,,22,,,A,,,2,,
,7,,,17P31A0334,,,R1641038,,,MECHATRONICS LAB,,,22,,,A,,,2,,
,8,,,17P31A0334,,,R164103C,,,ADDITIVE MANUFACTURING,,,28,,,F,,,0,,
,9,,,17P31A0334,,,R164103D,,,ADVANCED MATERIALS,,,29,,,F,,,0,,
,10,,,17P31A0339,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,13,,,F,,,0,,
,11,,,17P31A0363,,,R1641031,,,MECHATRONICS,,,13,,,ABSENT,,,0,,
,12,,,17P31A0363,,,R164103C,,,ADDITIVE MANUFACTURING,,,13,,,ABSENT,,,0,,
,13,,,17P31A0374,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,14,,,ABSENT,,,0,,
,14,,,17P31A0388,,,R1641031,,,MECHATRONICS,,,14,,,ABSENT,,,0,,
,15,,,17P31A0388,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,13,,,ABSENT,,,0,,
,16,,,17P31A03A6,,,R1641032,,,CAD/CAM(COMMON TO ME & AME),,,15,,,ABSENT,,,0,,
,17,,,17P31A03A6,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,12,,,ABSENT,,,0,,
,18,,,17P31A03A6,,,R164103C,,,ADDITIVE MANUFACTURING,,,9,,,ABSENT,,,0,,
,19,,,17P31A04I9,,,R1641041,,,RADAR SYSTEMS,,,14,,,ABSENT,,,0,,
,20,,,17P31A04I9,,,R1641044,,,OPTICAL COMMUNICATIONS,,,16,,,ABSENT,,,0,,
,21,,,18P31A0307,,,R1641031,,,MECHATRONICS,,,19,,,D,,,3,,
,22,,,18P31A0307,,,R164103C,,,ADDITIVE MANUFACTURING,,,23,,,F,,,0,,
,23,,,18P31A0310,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,22,,,F,,,0,,
,24,,,18P31A0322,,,R1641033,,,FINITE ELEMENT METHODS(COMMON TO ME & AM,,,21,,,C,,,3,,
