,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
16MH1A0487,R1631043,DIGITAL I C APPLICATIONS,22,F,0,
16MH1A0598,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USIN,1,F,0,
16MH1A0598,R1631055,OPERATING SYSTEMS,0,F,0,
16PA1A0238,R1631023,SIGNALS AND SYSTEMS,17,D,3,
16PA1A0238,R1631025,POWER ELECTRONICS,4,F,0,
17MH1A0430,R1631043,DIGITAL I C APPLICATIONS,18,F,0,
17MH1A0452,R1631043,DIGITAL I C APPLICATIONS,16,F,0,
17MH1A0452,R1631045,ANTENNA AND WAVE PROPAGATION,10,F,0,
17MH1A0469,R1631043,DIGITAL I C APPLICATIONS,17,F,0,
18MH1A0104,R1631011,MANAGEMENT SCIENCE,21,ABSENT,0,
18MH1A0301,R1631033,DESIGN OF MACHINE MEMBERS-II,16,F,0,
18MH1A0302,R1631033,DESIGN OF MACHINE MEMBERS-II,20,F,0,
18MH1A0306,R1631034,OPERATIONS RESEARCH,21,F,0,
18MH1A0308,R1631032,METAL CUTTING & MACHINE TOOLS,19,F,0,
18MH1A0308,R1631034,OPERATIONS RESEARCH,21,F,0,
18MH1A0308,R1631035,THERMAL ENGINEERING -II,20,F,0,
18MH1A0310,R1631034,OPERATIONS RESEARCH,22,F,0,
18MH1A0311,R1631031,DYNAMICS OF MACHINERY,17,F,0,
18MH1A0311,R1631033,DESIGN OF MACHINE MEMBERS-II,18,C,3,
18MH1A0311,R1631034,OPERATIONS RESEARCH,21,D,3,
18MH1A0489,R1631043,DIGITAL I C APPLICATIONS,10,F,0,
18MH5A0354,R1631033,DESIGN OF MACHINE MEMBERS-II,15,D,3,
19MH1A0205,R1931023,LINEAR IC APPLICATIONS,16,D,3,
19MH1A0206,R1931021,POWER SYSTEMS-II,12,F,0,
19MH1A0206,R1931023,LINEAR IC APPLICATIONS,14,F,0,
19MH1A0206,R1931024,DIGITAL SIGNAL PROCESSING,17,ABSENT,0,
19MH1A0206,R1931025,MICROPROCESSORS AND MICROCONTROLLERS,12,ABSENT,0,
19MH1A0302,R1931035,IC ENGINES & GAS TURBINES,20,F,0,
19MH1A0303,R1931031,DYNAMICS OF MACHINERY,17,F,0,
19MH1A0303,R1931035,IC ENGINES & GAS TURBINES,16,F,0,
19MH1A0304,R1931031,DYNAMICS OF MACHINERY,16,F,0,
19MH1A0304,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,16,F,0,
19MH1A0401,R1931043,DIGITAL COMMUNICATIONS,15,F,0,
19MH1A0401,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,16,F,0,
19MH1A0408,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,19,D,3,
19MH1A0408,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,18,D,3,
19MH1A0412,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,17,F,0,
19MH1A0412,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,14,D,3,
19MH1A0412,R1931043,DIGITAL COMMUNICATIONS,16,D,3,
19MH1A0412,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,16,F,0,
19MH1A0412,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,16,D,3,
19MH1A0414,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,14,F,0,
19MH1A0414,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,12,D,3,
19MH1A0414,R1931043,DIGITAL COMMUNICATIONS,14,D,3,
