"","","","","",""
"Htno","Subcode","Subname","Internals","Grade","Credits"
"16P31A0225","R1631021","POWER SYSTEMS-II","12","F","0"
"16P31A0225","R1631023","SIGNALS AND SYSTEMS","10","F","0"
"16P31A0225","R1631024","PULSE & DIGITAL CIRCUITS","19","F","0"
"16P31A0230","R1631022","RENEWABLE ENERGY SOURCES","13","ABSENT","0"
"16P31A0230","R1631023","SIGNALS AND SYSTEMS","9","F","0"
"16P31A0316","R1631033","DESIGN OF MACHINE MEMBERS-II","10","F","0"
"16P31A0320","R1631031","DYNAMICS OF MACHINERY","19","D","3"
"16P31A0338","R1631031","DYNAMICS OF MACHINERY","22","C","3"
"16P31A0371","R1631031","DYNAMICS OF MACHINERY","20","D","3"
"16P31A0381","R1631032","METAL CUTTING & MACHINE TOOLS","24","F","0"
"16P31A03A5","R1631031","DYNAMICS OF MACHINERY","19","D","3"
"16P31A0408","R1631043","DIGITAL I C APPLICATIONS","14","F","0"
"16P31A0473","R1631043","DIGITAL I C APPLICATIONS","13","F","0"
"16P31A04A3","R1631043","DIGITAL I C APPLICATIONS","13","ABSENT","0"
"17P31A0334","R1631029","IPR & PATENTS","0","COMPLE","0"
"17P31A0334","R1631031","DYNAMICS OF MACHINERY","28","F","0"
"17P31A0334","R1631032","METAL CUTTING & MACHINE TOOLS","29","F","0"
"17P31A0334","R1631033","DESIGN OF MACHINE MEMBERS-II","29","F","0"
"17P31A0334","R1631034","OPERATIONS RESEARCH","29","F","0"
"17P31A0334","R1631035","THERMAL ENGINEERING -II","28","F","0"
"17P31A0334","R1631036","THEORY OF MACHINES LAB","23","O","2"
"17P31A0334","R1631037","MACHINE TOOLS LAB","22","O","2"
"17P31A0334","R1631038","THERMAL ENGINEERING LAB","22","O","2"
"17P31A0339","R1631031","DYNAMICS OF MACHINERY","21","C","3"
"17P31A0390","R1631031","DYNAMICS OF MACHINERY","16","F","0"
"17P31A03B1","R1631031","DYNAMICS OF MACHINERY","10","F","0"
"17P31A04E7","R1631043","DIGITAL I C APPLICATIONS","11","F","0"
"17P31A04I4","R1631043","DIGITAL I C APPLICATIONS","13","F","0"
"17P31A04K6","R1631042","LINEAR I C APPLICATIONS","11","F","0"
"18HN1A0426","R1631042","LINEAR I C APPLICATIONS","13","ABSENT","0"
"18HN1A0426","R1631044","DIGITAL COMMUNICATIONS","12","ABSENT","0"
"18HN1A0426","R1631045","ANTENNA AND WAVE PROPAGATION","19","ABSENT","0"
"18P31A0117","R1631012","ENGINEERING GEOLOGY","9","F","0"
"18P31A0117","R1631013","STRUCTURAL ANALYSIS -II","12","F","0"
"18P31A0307","R1631031","DYNAMICS OF MACHINERY","15","D","3"
"18P31A0310","R1631035","THERMAL ENGINEERING -II","17","F","0"
"18P31A0323","R1631031","DYNAMICS OF MACHINERY","14","C","3"
"18P31A0332","R1631031","DYNAMICS OF MACHINERY","9","F","0"
"18P31A0365","R1631031","DYNAMICS OF MACHINERY","14","F","0"
"18P31A0401","R1631043","DIGITAL I C APPLICATIONS","16","C","3"
"18P31A0408","R1631041","COMPUTER ARCHITECTURE AND ORGANIZATION","14","C","3"
"18P31A0408","R1631042","LINEAR I C APPLICATIONS","18","C","3"
"18P31A0408","R1631044","DIGITAL COMMUNICATIONS","16","C","3"
"18P31A0411","R1631043","DIGITAL I C APPLICATIONS","17","C","3"
"18P31A0411","R1631044","DIGITAL COMMUNICATIONS","13","D","3"
"18P31A0418","R1631042","LINEAR I C APPLICATIONS","9","F","0"
"18P31A0418","R1631043","DIGITAL I C APPLICATIONS","14","D","3"
"18P31A0430","R1631043","DIGITAL I C APPLICATIONS","15","ABSENT","0"
"18P31A0430","R1631045","ANTENNA AND WAVE PROPAGATION","19","D","3"
"18P31A04K9","R1631043","DIGITAL I C APPLICATIONS","17","D","3"
"18P31A05A2","R1631054","DATABASE MANAGEMENT SYSTEMS","12","F","0"
"18P31A05A5","R1631051","COMPILER DESIGN","19","F","0"
"18P31A05A5","R1631052","UNIX PROGRAMMING","14","F","0"
"18P31A1219","R1631054","DATABASE MANAGEMENT SYSTEMS","7","F","0"
"18P31A1219","R1631055","OPERATING SYSTEMS","12","D","3"
"18P35A0227","R1631024","PULSE & DIGITAL CIRCUITS","13","ABSENT","0"
"18P35A0227","R1631025","POWER ELECTRONICS","18","ABSENT","0"
"18P35A0236","R1631021","POWER SYSTEMS-II","12","F","0"
"18P35A0236","R1631022","RENEWABLE ENERGY SOURCES","18","ABSENT","0"
"18P35A0236","R1631023","SIGNALS AND SYSTEMS","11","ABSENT","0"
"18P35A0236","R1631024","PULSE & DIGITAL CIRCUITS","12","ABSENT","0"
"18P35A0304","R1631031","DYNAMICS OF MACHINERY","21","F","0"
"18P35A03B1","R1631035","THERMAL ENGINEERING -II","19","ABSENT","0"
"18P35A0431","R1631043","DIGITAL I C APPLICATIONS","15","ABSENT","0"
"19P31A0103","R1931011","STRUCTURAL ANALYSIS","13","F","0"
"19P31A0109","R1931011","STRUCTURAL ANALYSIS","16","F","0"
"19P31A0109","R1931013","WATER RESOURCES ENGINEERING-I","14","D","3"
"19P31A0109","R193101G","ENVIRONMENTAL POLLUTION & CONTROL","15","D","3"
"19P31A0201","R1931023","LINEAR IC APPLICATIONS","17","C","3"
"19P31A0204","R1931023","LINEAR IC APPLICATIONS","14","D","3"
